2018-04-23 17:16:27 configure perl-base:arm64 5.20.2-3+deb8u9 5.20.2-3+deb8u9
2018-04-23 17:16:27 status unpacked perl-base:arm64 5.20.2-3+deb8u9
2018-04-23 17:16:27 status half-configured perl-base:arm64 5.20.2-3+deb8u9
2018-04-23 17:16:27 status installed perl-base:arm64 5.20.2-3+deb8u9
2018-04-23 17:16:27 startup archives install
2018-04-23 17:16:27 install mawk:arm64 <none> 1.3.3-17+b2
2018-04-23 17:16:27 status half-installed mawk:arm64 1.3.3-17+b2
2018-04-23 17:16:27 status unpacked mawk:arm64 1.3.3-17+b2
2018-04-23 17:16:27 status unpacked mawk:arm64 1.3.3-17+b2
2018-04-23 17:16:27 configure mawk:arm64 1.3.3-17+b2 1.3.3-17+b2
2018-04-23 17:16:27 status unpacked mawk:arm64 1.3.3-17+b2
2018-04-23 17:16:27 status half-configured mawk:arm64 1.3.3-17+b2
2018-04-23 17:16:27 status installed mawk:arm64 1.3.3-17+b2
2018-04-23 17:16:27 startup archives install
2018-04-23 17:16:27 install debconf:all <none> 1.5.56+deb8u1
2018-04-23 17:16:27 status half-installed debconf:all 1.5.56+deb8u1
2018-04-23 17:16:28 status unpacked debconf:all 1.5.56+deb8u1
2018-04-23 17:16:28 status unpacked debconf:all 1.5.56+deb8u1
2018-04-23 17:16:28 configure debconf:all 1.5.56+deb8u1 1.5.56+deb8u1
2018-04-23 17:16:28 status unpacked debconf:all 1.5.56+deb8u1
2018-04-23 17:16:28 status unpacked debconf:all 1.5.56+deb8u1
2018-04-23 17:16:28 status unpacked debconf:all 1.5.56+deb8u1
2018-04-23 17:16:28 status unpacked debconf:all 1.5.56+deb8u1
2018-04-23 17:16:28 status half-configured debconf:all 1.5.56+deb8u1
2018-04-23 17:16:29 status installed debconf:all 1.5.56+deb8u1
2018-04-23 17:16:29 startup archives unpack
2018-04-23 17:16:29 install acl:arm64 <none> 2.2.52-2
2018-04-23 17:16:29 status half-installed acl:arm64 2.2.52-2
2018-04-23 17:16:29 status unpacked acl:arm64 2.2.52-2
2018-04-23 17:16:29 status unpacked acl:arm64 2.2.52-2
2018-04-23 17:16:29 install libacl1:arm64 <none> 2.2.52-2
2018-04-23 17:16:29 status half-installed libacl1:arm64 2.2.52-2
2018-04-23 17:16:29 status unpacked libacl1:arm64 2.2.52-2
2018-04-23 17:16:29 status unpacked libacl1:arm64 2.2.52-2
2018-04-23 17:16:29 install adduser:all <none> 3.113+nmu3
